

AAK;;;;;;;;;;
733.00;+5.80;+0.80%;733.20;721.20;"238302
";;;;;
752.80;+19.80;+2.70%;756.00;736.20;"221450
";;;;;
769.80;+17.00;+2.26%;778.40;748.60;"365601
";;;;;
769.80;+17.00;+2.26%;778.40;748.60;"365601
";;;;;
769.80;+17.00;+2.26%;778.40;748.60;"365601
";;;;;




Avanza-Bank-Holding;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
410.80;-9.20;-2.19%;419.40;404.60;"87840
";;;;;
411.40;+0.60;+0.15%;416.20;408.00;"45268
";;;;;
409.60;-1.80;-0.44%;415.20;408.60;"31419
";;;;;
410.20;+0.60;+0.15%;415.00;407.00;"50865
";;;;;
417.00;+6.80;+1.66%;417.40;410.40;"56469
";;;;;
417.00;+6.80;+1.66%;417.40;410.40;"56469
";;;;;
417.00;+6.80;+1.66%;417.40;410.40;"56469
";;;;;




Axfood;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
173.30;-1.50;-0.86%;175.40;172.65;"282465
";;;;;
171.85;-1.45;-0.84%;174.25;171.45;"300335
";;;;;
172.90;+1.05;+0.61%;173.60;171.15;"484339
";;;;;
174.00;+1.10;+0.64%;174.95;173.20;"213048
";;;;;
173.90;-0.10;-0.06%;174.90;172.95;"208686
";;;;;
173.90;-0.10;-0.06%;174.90;172.95;"208686
";;;;;
173.90;-0.10;-0.06%;174.90;172.95;"208686
";;;;;




Balder-B;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
293.20;-2.40;-0.81%;296.20;292.20;"362041
";;;;;
289.80;-3.40;-1.16%;294.00;289.40;"305790
";;;;;
295.40;+5.60;+1.93%;297.60;289.20;"278608
";;;;;
294.40;-1.00;-0.34%;297.40;294.00;"196543
";;;;;
294.20;-0.20;-0.07%;296.20;292.20;"166286
";;;;;
294.20;-0.20;-0.07%;296.20;292.20;"166286
";;;;;
294.20;-0.20;-0.07%;296.20;292.20;"166286
";;;;;




Beijer-Ref-B;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
159.40;+0.60;+0.38%;160.10;157.50;"90060
";;;;;
159.30;-0.10;-0.06%;159.80;158.20;"123519
";;;;;
162.40;+3.10;+1.95%;164.90;159.70;"258320
";;;;;
162.70;+0.30;+0.18%;164.50;159.60;"109950
";;;;;
161.30;-1.40;-0.86%;163.00;160.40;"74978
";;;;;
161.30;-1.40;-0.86%;163.00;160.40;"74978
";;;;;
161.30;-1.40;-0.86%;163.00;160.40;"74978
";;;;;




Betsson-B;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
73.24;-0.16;-0.22%;73.36;72.28;"604073
";;;;;
72.06;-1.18;-1.61%;73.06;71.50;"441988
";;;;;
72.20;+0.14;+0.19%;72.50;71.22;"760121
";;;;;
72.86;+0.66;+0.91%;74.28;71.70;"843878
";;;;;
75.02;+2.16;+2.96%;75.44;73.34;"502068
";;;;;
75.02;+2.16;+2.96%;75.44;73.34;"502068
";;;;;
75.02;+2.16;+2.96%;75.44;73.34;"502068
";;;;;




BillerudKorsnas;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
128.05;-0.10;-0.08%;128.90;127.25;"421970
";;;;;
126.45;-1.60;-1.25%;129.25;125.50;"468326
";;;;;
127.10;+0.65;+0.51%;128.40;126.00;"303133
";;;;;
125.70;-1.40;-1.10%;127.35;125.65;"297773
";;;;;
127.60;+1.90;+1.51%;127.95;125.15;"401277
";;;;;
127.60;+1.90;+1.51%;127.95;125.15;"401277
";;;;;
127.60;+1.90;+1.51%;127.95;125.15;"401277
";;;;;




Boliden;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
283.90;0.00;0.00%;286.10;280.80;"1467786
";;;;;
280.90;-3.00;-1.06%;285.30;278.90;"1337517
";;;;;
283.40;+2.50;+0.89%;286.00;281.00;"1258321
";;;;;
282.20;-1.20;-0.42%;283.90;275.40;"1296920
";;;;;
287.80;+5.60;+1.98%;289.60;279.80;"1537057
";;;;;
287.80;+5.60;+1.98%;289.60;279.80;"1537057
";;;;;
287.80;+5.60;+1.98%;289.60;279.80;"1537057
";;;;;




Bonava-A;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
123.50;+3.00;+2.49%;123.50;119.50;"2838
";;;;;
121.50;-2.00;-1.62%;123.00;120.50;"806
";;;;;
121.50;0.00;0.00%;123.00;121.00;"1147
";;;;;
119.50;-2.00;-1.65%;121.50;119.50;"1051
";;;;;
122.00;+2.50;+2.09%;122.00;120.00;"878
";;;;;
122.00;+2.50;+2.09%;122.00;120.00;"878
";;;;;
122.00;+2.50;+2.09%;122.00;120.00;"878
";;;;;




Bonava-B;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
122.90;+2.10;+1.74%;122.90;120.50;"81277
";;;;;
121.40;-1.50;-1.22%;123.00;120.90;"39991
";;;;;
122.10;+0.70;+0.58%;123.00;120.30;"87599
";;;;;
120.40;-1.70;-1.39%;121.60;119.60;"194846
";;;;;
121.80;+1.40;+1.16%;122.20;120.30;"151737
";;;;;
121.80;+1.40;+1.16%;122.20;120.30;"151737
";;;;;
121.80;+1.40;+1.16%;122.20;120.30;"151737
";;;;;




Bravida-Holding;;;;;;;;;;
Price;Diff;Diff prc;High;Low;Volume;Date;ma20;ma50;ma200;rsi
82.70;-1.00;-1.20%;83.30;82.20;"307208
";;;;;
82.00;-0.70;-0.85%;83.20;81.80;"290530
";;;;;
81.95;-0.05;-0.06%;82.55;81.80;"300403
";;;;;
82.80;+0.85;+1.04%;82.90;81.60;"299797
";;;;;
83.50;+0.70;+0.84%;84.00;82.80;"225738
";;;;;
83.50;+0.70;+0.84%;84.00;82.80;"225738
";;;;;
83.50;+0.70;+0.84%;84.00;82.80;"225738
";;;;;




Castellum;;;;;;;;;;
